created_time,id,pre_processed_message,message_min_processed,shares,status_type,full_picture,reactions_like,reactions_haha,reactions_wow,reactions_sad,reactions_angry,reactions_love,has_textual_message
2020-02-09T21:30:40+0000,904277726319518_2835867573160514,ser bolsonar esta trist perd amig,sera que os bolsonaros estao tristes pela perda do amigo ?,568,mobile_status_update,None,7559,2188,87,25,29,148,True
2020-02-08T22:34:15+0000,904277726319518_2833631630050775, , ,378,mobile_status_update,https://scontent-gru2-1.xx.fbcdn.net/v/t15.5256-10/75640928_813860412455286_551673413706448896_n.jpg?_nc_cat=109&_nc_sid=ad6a45&_nc_ohc=MTKww4YbDkIAX-rcx4F&_nc_ht=scontent-gru2-1.xx&oh=800f1d39c30a4d34033727d29ff60a20&oe=5EAFDF06,3362,115,9,0,21,796,False
2020-02-08T19:18:17+0000,904277726319518_2833315943415677,hor ir rua defend part leg bot fascist corr gent fic med fak news med red social med fascist vao avanc gent mostr garr gent vao recu pais volt ser govern gent decent fot dieg padilh,e hora de ir para a rua defender esse partido esse legado e botar esses fascistas para correr . se a gente ficar com medo de fake news medo de rede social medo de fascista eles vao avancar . se a gente mostrar a garra que a gente teve eles vao recuar . e o pais volta a ser governado por gente decente . fotos : diego padilha,2515,added_photos,https://scontent-gru1-1.xx.fbcdn.net/v/t1.0-0/p480x480/84633249_2833315303415741_6761865299571507200_n.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=lbfoPmvvHh8AX9ztuxm&_nc_ht=scontent-gru1-1.xx&_nc_tp=6&oh=5397a25b5944e512472bff24fd88d668&oe=5EAE17C8,13489,2767,57,3,265,3082,True
2020-02-08T11:05:38+0000,904277726319518_2832460256834579,colun seman sobr sociolog critic anos entend discurs fascist,coluna da semana sobre como a sociologia critica dos anos 1940 entendia o discurso fascista .,384,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQDTEBuDga-WPv6C&url=https%3A%2F%2Ff.i.uol.com.br%2Ffotografia%2F2018%2F10%2F19%2F15399894735bca5fe1278b7_1539989473_3x2_xl.jpg&_nc_hash=AQCWD-hEJw-r602M,1894,60,11,0,5,127,True
2020-02-08T00:03:16+0000,904277726319518_2831565216924083,gued cham servidor public fic anos trabalh aind rach salari funcionari gabinet,de que guedes chamaria um servidor publico que ficou 28 anos sem trabalhar e ainda rachava o salario dos funcionarios do seu gabinete ?,2225,mobile_status_update,None,11227,1478,57,27,57,888,True
2020-02-06T22:47:49+0000,904277726319518_2829292070484731,trev govern rondon chefi coronel marc roch psl ja chef centr inteligenc pmro secretari municipal educaca port velh ped recolh livr macunaim serto,trevas : governo de rondonia chefiado pelo coronel marcos rocha ( psl ) que ja foi chefe do centro de inteligencia da pm/ro e secretario municipal de educacao de porto velho pede recolhimento de livros como macunaima e os sertoes .,3383,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQCCy2iNx8bKTxOm&url=https%3A%2F%2Fimg.estadao.com.br%2Ffotos3%2Ficon%2Festadao.gif&_nc_hash=AQBAQ2_R_Bo2lGrx,2768,24,439,1782,4117,10,True
2020-02-03T13:23:18+0000,904277726319518_2822205094526762, , ,1118,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQDY3QuNGTbeirL-&url=https%3A%2F%2Ff.i.uol.com.br%2Ffotografia%2F2020%2F02%2F02%2F15806918665e37719a6674c_1580691866_3x2_rt.jpg&_nc_hash=AQDA8LP1JdCSqxcy,2247,33,70,1155,314,4,False
2020-02-02T21:45:41+0000,904277726319518_2820908857989719,cv cont banc usad abastec queiroz duas parent nom gabinet senador flavi b defend bolsonar discurs cam conden homicidi condecor flavi b medalh tiradent,cv : - contas bancarias usadas para abastecer queiroz . - duas parentes nomeadas no gabinete do senador flavio b . - defendido por bolsonaro em discurso na camara quando condenado por homicidio . - condecorado por flavio b. com a medalha tiradentes,1637,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQAkyIBBvB9wakDU&url=https%3A%2F%2Ff.i.uol.com.br%2Ffotografia%2F2020%2F01%2F31%2F15804718695e34163db983a_1580471869_3x2_md.jpg&_nc_hash=AQD08rOhiiBJtpGj,3037,111,96,69,1043,8,True
2020-02-01T23:12:31+0000,904277726319518_2819007631513175,entrev dei brasil,entrevista que dei ao brasil 247 .,89,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQARflV2jzjnGzSA&w=480&h=360&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2F-NJOjOt4ecQ%2Fhqdefault.jpg&crop&sx=0&sy=0&sw=480&sh=360&_nc_hash=AQDBICBt2yxrOpHt,1182,43,7,1,3,140,True
2020-02-01T10:55:48+0000,904277726319518_2817903148290290,colun seman sobr mec frangalh,coluna da semana sobre o mec em frangalhos .,243,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQAOxy2uyR6aetcm&url=https%3A%2F%2Ff.i.uol.com.br%2Ffotografia%2F2019%2F12%2F22%2F15770525435dffe97fb9805_1577052543_3x2_rt.jpg&_nc_hash=AQBKkVTsLyD0_xET,1503,31,5,193,35,13,True
